FireID,Date ,Time ,Fire Status,Hectares,Datenumber,firestatusday,nogrowthday,elevation,stationelevation
SWF107,13-Aug-17,12:28:00,OC,1,42960.00,1,30,713.415161,625
SWF107,13-Aug-17,12:57:42,OC,6,42960.00,1,30,713.415161,625
SWF107,13-Aug-17,13:15:00,OC,50,42960.00,1,30,713.415161,625
SWF107,13-Aug-17,13:24:04,OC,100,42960.00,1,30,713.415161,625
SWF107,13-Aug-17,16:15:00,OC,1000,42960.00,1,30,713.415161,625
SWF107,14-Aug-17,15:00:00,OC,5118.2,42961.00,2,30,713.415161,625
SWF107,15-Aug-17,17:53:41,BH,5118.2,42962.00,3,30,713.415161,625
SWF107,16-Aug-17,21:45:00,BH,5669,42963.00,4,30,713.415161,625
SWF107,17-Aug-17,12:50:00,BH,6093,42964.00,5,30,713.415161,625
SWF107,18-Aug-17,18:30:00,BH,7202,42965.00,6,30,713.415161,625
SWF107,20-Aug-17,14:00:00,BH,7558,42967.00,8,30,713.415161,625
SWF107,03-Sep-17,18:48:34,BH,8158,42981.00,22,30,713.415161,625
SWF107,03-Sep-17,19:12:00,OC,10158,42981.00,22,30,713.415161,625
SWF107,04-Sep-17,11:15:00,OC,8614,42982.00,23,30,713.415161,625
SWF107,06-Sep-17,19:50:00,OC,11891,42984.00,25,30,713.415161,625
SWF107,10-Sep-17,10:08:00,BH,16776.18,42988.00,29,30,713.415161,625
SWF107,11-Sep-17,10:30:00,BH,17023,42989.00,30,30,713.415161,625
SWF107,21-Sep-17,8:55:00,UC,17023,42999.00,40,30,713.415161,625
SWF107,31-Mar-18,23:59:59,UC,17023,43190.00,231,30,713.415161,625
SWF107,20-May-18,19:29:17,EX,17023,43240.00,281,30,713.415161,625
HWF221,05-Aug-17,14:42:00,OC,35,42952,1,20,273.903229,368
HWF221,05-Aug-17,16:20:39,OC,200,42952,1,20,273.903229,368
HWF221,05-Aug-17,19:31:42,OC,500,42952,1,20,273.903229,368
HWF221,06-Aug-17,9:32:23,OC,944,42953,2,20,273.903229,368
HWF221,07-Aug-17,19:25:09,BH,944,42954,3,20,273.903229,368
HWF221,11-Aug-17,16:08:07,OC,944,42958,7,20,273.903229,368
HWF221,11-Aug-17,19:21:59,OC,1400,42958,7,20,273.903229,368
HWF221,12-Aug-17,9:51:38,OC,1693,42959,8,20,273.903229,368
HWF221,14-Aug-17,9:25:39,OC,3000,42961,10,20,273.903229,368
HWF221,14-Aug-17,11:30:00,OC,3200,42961,10,20,273.903229,368
HWF221,14-Aug-17,19:45:02,OC,3462,42961,10,20,273.903229,368
HWF221,19-Aug-17,9:48:47,OC,4604,42966,15,20,273.903229,368
HWF221,21-Aug-17,17:49:58,OC,4788.9,42968,17,20,273.903229,368
HWF221,21-Aug-17,20:00:00,OC,4788.9,42968,17,20,273.903229,368
HWF221,24-Aug-17,18:45:32,OC,4994,42971,20,20,273.903229,368
HWF221,26-Aug-17,16:56:30,BH,4994,42973,22,20,273.903229,368
HWF221,07-Sep-19,18:00:00,UC,4994,43715,764,20,273.903229,368
HWF221,17-Nov-19,10:30:00,EX,4994,43786,835,20,273.903229,368
HWF236,09-Aug-17,17:15:00,OC,12,42956,1,12,327.019806,368
HWF236,09-Aug-17,18:36:43,OC,13,42956,1,12,327.019806,368
HWF236,10-Aug-17,9:01:46,BH,20,42957,2,12,327.019806,368
HWF236,11-Aug-17,11:30:00,UC,20,42958,3,12,327.019806,368
HWF236,13-Aug-17,19:24:37,OC,38,42960,5,12,327.019806,368
HWF236,19-Aug-17,18:52:51,BH,38,42966,11,12,327.019806,368
HWF236,20-Aug-17,14:52:06,UC,44.8,42967,12,12,327.019806,368
HWF236,26-Aug-17,10:47:43,EX,44.8,42973,18,12,327.019806,368
HWF280,01-Sep-17,14:30:00,BH,2,42979,1,9,626.608826,576
HWF280,01-Sep-17,17:38:21,BH,8.8,42979,1,9,626.608826,576
HWF280,05-Sep-17,11:45:50,BH,80,42983,5,9,626.608826,576
HWF280,06-Sep-17,12:27:46,BH,408,42984,6,9,626.608826,576
HWF280,07-Sep-17,13:02:07,BH,1370,42985,7,9,626.608826,576
HWF280,08-Sep-17,13:11:29,BH,6415,42986,8,9,626.608826,576
HWF280,09-Sep-17,16:09:00,BH,13539,42987,9,9,626.608826,576
HWF280,13-Oct-17,13:35:00,UC,13539,43021,43,9,626.608826,576
HWF280,17-Nov-17,10:30:00,EX,13539,43056,78,9,626.608826,576
HWF246,11-Aug-17,18:05:00,OC,15,42958,1,11,253.979004,368
HWF246,11-Aug-17,18:39:44,OC,30,42958,1,11,253.979004,368
HWF246,11-Aug-17,19:16:31,OC,100,42958,1,11,253.979004,368
HWF246,12-Aug-17,11:34:26,OC,65,42959,2,11,253.979004,368
HWF246,12-Aug-17,16:09:00,OC,160,42959,2,11,253.979004,368
HWF246,12-Aug-17,19:27:54,OC,196,42959,2,11,253.979004,368
HWF246,13-Aug-17,14:23:24,OC,220,42960,3,11,253.979004,368
HWF246,14-Aug-17,17:03:04,OC,303,42961,4,11,253.979004,368
HWF246,17-Aug-17,18:34:06,OC,274,42964,7,11,253.979004,368
HWF246,21-Aug-17,20:00:00,BH,274,42968,11,11,253.979004,368
HWF246,24-Aug-17,18:45:57,BH,255,42971,14,11,253.979004,368
HWF246,26-Aug-17,16:56:51,UC,255,42973,16,11,253.979004,368
HWF246,07-Sep-17,15:16:26,EX,255,42985,28,11,253.979004,368
HWF252,14-Aug-17,10:50:00,OC,569,42961,1,14,882.973083,962
HWF252,15-Aug-17,13:05:42,BH,569,42962,2,14,882.973083,962
HWF252,16-Aug-17,14:52:00,BH,948,42963,3,14,882.973083,962
HWF252,18-Aug-17,11:48:01,BH,953,42965,5,14,882.973083,962
HWF252,23-Aug-17,13:58:16,BH,1053,42970,10,14,882.973083,962
HWF252,27-Aug-17,17:51:17,BH,1896.6,42974,14,14,882.973083,962
HWF252,06-Sep-17,16:30:41,UC,1852,42984,24,14,882.973083,962
HWF252,17-Nov-17,10:30:00,EX,1852,43056,96,14,882.973083,962
